+-------------+--------------+----------------+-----------------+------------------+----------------+--------------+------------+
| c_last_name | c_first_name | ca_city        | bought_city     | ss_ticket_number | extended_price | extended_tax | list_price |
+-------------+--------------+----------------+-----------------+------------------+----------------+--------------+------------+
|             |              | Brownsville    | Walnut Grove    | 53883            | 14709.49       | 173.84       | 30359.86   |
|             |              | Buena Vista    | Griffin         | 109500           | 24830.06       | 1112.37      | 50094.52   |
|             |              | Centerville    | Providence      | 62604            | 11309.86       | 401.70       | 25488.06   |
|             |              | Clinton        | Redland         | 36631            | 18294.15       | 828.86       | 48252.58   |
|             |              | Dallas         | Shady Grove     | 55706            | 12701.55       | 394.67       | 23287.65   |
|             |              | Deerfield      | Lakeside        | 232906           | 21387.51       | 810.79       | 28657.64   |
|             |              | Edgewood       | Belmont         | 230383           | 18252.32       | 805.72       | 35147.68   |
|             |              | Fairview       | Florence        | 90439            | 15148.26       | 644.76       | 34824.23   |
|             |              | Five Points    | Tracy           | 159202           | 16948.59       | 761.54       | 32884.04   |
|             |              | Florence       | Spring Hill     | 104935           | 25057.07       | 1261.85      | 47121.26   |
|             |              | Forest Hills   | Argyle          | 139387           | 15038.27       | 133.35       | 31670.31   |
|             |              | Franklin       | Floyd           | 230648           | 18347.71       | 530.71       | 33093.43   |
|             |              | Galena         | Sulphur Springs | 137765           | 12123.38       | 785.49       | 28248.16   |
|             |              | Georgetown     | Forest Hills    | 195266           | 14065.41       | 432.04       | 28953.13   |
|             |              | Glendale       | Mount Pleasant  | 159389           | 34914.16       | 692.22       | 57646.18   |
|             |              | Guilford       | Wildwood        | 49651            | 15693.84       | 454.60       | 29538.50   |
|             |              | Hillcrest      | Valley View     | 218569           | 20608.21       | 1077.14      | 42824.59   |
|             |              | Kingston       | Wildwood        | 176614           | 21589.36       | 939.06       | 38415.82   |
|             |              | Lakeside       | Jackson         | 235093           | 12231.85       | 380.29       | 45651.44   |
|             |              | Leon           | Five Points     | 50330            | 40167.73       | 1682.75      | 56198.72   |
|             |              | Littleton      | Walnut Grove    | 209023           | 20841.54       | 1106.46      | 57051.42   |
|             |              | Midway         | Oakwood         | 11488            | 16050.99       | 361.53       | 25084.90   |
|             |              | Morris         | Sullivan        | 97140            | 17892.16       | 952.80       | 40602.97   |
|             |              | Mount Pleasant | Greenville      | 206301           | 22861.83       | 1045.30      | 48022.73   |
|             |              | Mount Zion     | Greenwood       | 174923           | 22313.61       | 523.07       | 32055.34   |
|             |              | Mountain View  | Deerfield       | 194436           | 7432.11        | 152.61       | 17920.09   |
|             |              | Newport        | Bunker Hill     | 47193            | 13889.47       | 483.83       | 35637.42   |
|             |              | Newtown        | Union Hill      | 186823           | 10469.81       | 489.69       | 24628.50   |
|             |              | Pleasant Grove | Newtown         | 164893           | 11443.91       | 709.71       | 23340.46   |
|             |              | Pleasant Hill  | Waterloo        | 156554           | 20347.07       | 490.11       | 31447.08   |
|             |              | Salem          | Mount Pleasant  | 50365            | 18228.49       | 831.00       | 37713.88   |
|             |              | Shady Grove    | Clifford        | 103990           | 14359.18       | 467.06       | 24716.94   |
|             |              | Shelby         | Clifton         | 54573            | 17992.16       | 539.08       | 28633.01   |
|             |              | Shiloh         | Oakland         | 46266            | 12854.97       | 273.81       | 36292.72   |
|             |              | Springfield    | Florence        | 77578            | 19728.18       | 1275.54      | 37291.36   |
|             |              | Springfield    | Jackson         | 176898           | 19100.75       | 702.37       | 49968.00   |
|             |              | Summit         | Concord         | 224470           | 16753.12       | 781.09       | 42501.34   |
|             |              | Sunnyside      | Newtown         | 40831            | 33108.47       | 1069.05      | 52500.53   |
|             |              | Unionville     | Woodlawn        | 70               | 15617.02       | 1059.20      | 35200.10   |
|             |              | Walnut Grove   | Willow          | 147740           | 15881.09       | 1040.11      | 48011.06   |
|             |              | Waterloo       | Spring Hill     | 206784           | 17965.93       | 689.25       | 29316.46   |
|             |              | White Oak      | Florence        | 92664            | 12198.63       | 448.33       | 26745.81   |
|             |              | Wilson         | Jamestown       | 111773           | 13984.56       | 397.78       | 30817.04   |
|             | Ana          | Deerfield      | Jamestown       | 26329            | 29588.22       | 1896.98      | 44933.70   |
|             | Andrew       | Centerville    | Plainview       | 98661            | 41902.00       | 2017.42      | 86094.03   |
|             | Andrew       | Shiloh         | Mount Zion      | 205712           | 18576.19       | 593.23       | 39242.39   |
|             | Antone       | Antioch        | Forest Hills    | 192973           | 40194.32       | 1379.77      | 70621.27   |
|             | Barbara      | Westgate       | Crossroads      | 202167           | 29774.57       | 759.89       | 57217.71   |
|             | Bernadette   | Ashland        | Pleasant Grove  | 134217           | 25936.51       | 1321.77      | 60748.64   |
|             | David        | Florence       | Springdale      | 108460           | 19642.52       | 1168.44      | 40111.20   |
|             | Diane        | Five Points    | Mount Zion      | 203347           | 36587.99       | 494.65       | 66098.94   |
|             | Donna        | Oak Hill       | Sulphur Springs | 36870            | 33229.68       | 907.76       | 54501.43   |
|             | Douglas      | Crossroads     | Sunnyside       | 218776           | 13991.57       | 480.95       | 39642.78   |
|             | Emiko        | Liberty        | Oakdale         | 193771           | 19610.23       | 681.17       | 45043.05   |
|             | Frank        | Riverview      | Waterloo        | 109144           | 8470.24        | 554.01       | 25579.19   |
|             | George       | Pleasant Grove | Shiloh          | 179953           | 13839.05       | 646.27       | 30115.84   |
|             | Gertrude     | Greenwood      | Macedonia       | 137410           | 33974.25       | 1241.82      | 49535.24   |
|             | Jack         | Oakwood        | Liberty         | 149758           | 22364.94       | 938.26       | 34929.32   |
|             | James        | Riverview      | Valley View     | 99563            | 6687.50        | 416.02       | 18412.89   |
|             | James        | Shiloh         | Wesley          | 142680           | 20487.97       | 1060.04      | 43644.09   |
|             | John         | Fairview       | Lakeside        | 123374           | 17746.84       | 986.67       | 31438.00   |
|             | John         | Parkwood       | Edgewood        | 24159            | 27211.89       | 1604.38      | 43810.22   |
|             | Joseph       | Lakewood       | Mount Olive     | 231104           | 36907.62       | 1354.76      | 62079.89   |
|             | Joseph       | Springdale     | Lakeside        | 134343           | 32300.74       | 720.33       | 53828.07   |
|             | Joshua       | Five Points    | Hopewell        | 227114           | 15509.50       | 560.16       | 47045.57   |
|             | Joshua       | Lakeside       | Highland Park   | 46736            | 28890.40       | 1493.83      | 46182.44   |
|             | Juanita      | Waterloo       | Georgetown      | 100509           | 20296.61       | 869.64       | 54777.96   |
|             | Karen        | Greenfield     | Friendship      | 40841            | 16463.34       | 422.03       | 32375.62   |
|             | Kent         | Wilson         | Mountain View   | 27855            | 6056.95        | 364.49       | 33702.67   |
|             | Lacey        | Jamestown      | Riverside       | 134462           | 5365.29        | 356.53       | 14289.43   |
|             | Larry        | Oak Hill       | Five Points     | 54597            | 23089.71       | 325.91       | 53696.82   |
|             | Lillian      | Fairview       | Pleasant Hill   | 90533            | 11370.78       | 788.08       | 30513.94   |
|             | Malcolm      | Spring Hill    | Bridgeport      | 97846            | 25404.69       | 917.66       | 54757.05   |
|             | Marti        | Greenwood      | Providence      | 231861           | 14596.26       | 483.55       | 38253.54   |
|             | Melvin       | Woodville      | Harmony         | 115030           | 16623.59       | 784.22       | 26203.10   |
|             | Norman       | Jamestown      | Farmington      | 218063           | 21778.15       | 811.33       | 46935.03   |
|             | Ralph        | Valley View    | Harmony         | 125234           | 10531.41       | 700.49       | 19010.07   |
|             | Raymond      | Springfield    | Greenfield      | 174183           | 25595.12       | 621.45       | 59332.81   |
|             | Rene         | Caledonia      | Spring Valley   | 30016            | 33809.93       | 1774.76      | 50200.07   |
|             | Rene         | Caledonia      | Stringtown      | 16638            | 18982.21       | 851.66       | 61572.90   |
|             | Ricky        | Stringtown     | Glenwood        | 120194           | 17864.80       | 1002.51      | 45152.49   |
|             | Roy          | Georgetown     | Riverside       | 200033           | 38525.15       | 1584.09      | 54651.99   |
|             | Shannon      | Brownsville    | Deerfield       | 57279            | 10989.61       | 278.14       | 24580.71   |
|             | Susan        | Green Acres    | Liberty         | 143399           | 19682.69       | 346.83       | 45296.34   |
|             | Tabatha      | Harmony        | Greenfield      | 56102            | 18215.83       | 661.35       | 30860.74   |
|             | Victor       | Providence     | Antioch         | 161524           | 15107.55       | 613.92       | 34455.45   |
|             | Violet       | Woodlawn       | Woodville       | 193534           | 25572.81       | 787.15       | 41865.05   |
|             | Warren       | Bunker Hill    | Greenville      | 134828           | 13619.79       | 555.80       | 25054.82   |
|             | Willie       | Freeport       | Wyoming         | 147738           | 18873.05       | 598.33       | 40546.66   |
| Aaron       | Guy          | Lakeside       | Mount Pleasant  | 210815           | 17578.87       | 809.71       | 43572.79   |
| Abbott      | Harriet      | Wesley         | Forest Hills    | 84405            | 22861.50       | 1369.56      | 44009.90   |
| Abbott      | Joseph       | Greenfield     | Midway          | 62751            | 26919.52       | 1116.58      | 57080.40   |
| Abney       | Louis        | Gladstone      | Green Acres     | 140967           | 19446.55       | 877.95       | 32461.55   |
| Acevedo     | David        | Clinton        | Shady Grove     | 131505           | 38482.28       | 1224.88      | 75008.94   |
| Acosta      | David        | Harmony        | Bunker Hill     | 112259           | 23555.67       | 1186.06      | 38964.27   |
| Acosta      | Johnnie      | Centerville    | Enterprise      | 69183            | 11146.93       | 215.50       | 17512.59   |
| Adair       | Evan         | Blanchard      | New Hope        | 117449           | 15560.75       | 571.23       | 38387.23   |
| Adams       | Genevieve    | Enterprise     | Union Hill      | 109910           | 38112.60       | 2078.45      | 68698.50   |
| Adams       | John         | Marion         | Oak Ridge       | 206733           | 32377.89       | 1224.72      | 72590.31   |
| Adams       | Joyce        | Newtown        | Concord         | 166181           | 11300.17       | 395.01       | 32793.82   |
+-------------+--------------+----------------+-----------------+------------------+----------------+--------------+------------+
